Gene,SYMBOL,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
g10115,g10115,0.81376988,2.202466632,1.590382415,1.574580691,1.33809145,-0.025950238,-0.474200203,-0.018991715,1.008644613,1.528806587,0.775427465,-0.65701373
g10116,g10116,2.558432165,3.058662856,3.767368863,3.278615142,3.282717226,4.660017422,4.617701727,4.061344086,3.58581149,3.095461186,3.978033338,3.670769366
g10117,g10117,2.165120513,4.029716191,1.692131318,0.258087079,1.674141285,5.163634885,3.658784923,3.525722417,3.770690652,2.094829618,2.601282226,-0.492063504
g10118,g10118,2.534353268,1.686854875,2.437775381,3.605746135,3.436562515,3.365345526,2.924058683,3.157343974,2.960229477,3.016739825,3.035353868,3.498840959
g10119,g10119,2.338619103,-0.80906595,-1.406553652,1.818062533,-0.330156232,2.199725175,1.117513409,0.19073193,3.634978351,-0.231422052,0.005255943,1.365250453
g1012,g1012,1.118439789,1.729921644,0.330578868,1.760454562,1.026715844,0.778659869,1.479260072,0.369177484,0.649612849,0.237900861,-0.318611946,-1.244932061
g10120,SAMD3,1.458075862,2.535383028,1.760172132,1.576917039,1.445079233,1.48761938,2.824994369,1.082828596,-0.550667588,0.555230954,1.452851392,-0.959622105
g10121,g10121,5.103315155,3.855033099,3.838550181,4.862735923,4.60242454,4.994935895,4.983863472,3.439849414,4.27695361,3.318751692,3.906589259,4.338374861
g10122,g10122,1.15839582,0.531846667,1.095963319,1.848566741,1.769400137,1.965557757,2.124331291,1.968611693,2.676264914,1.089668419,1.502687968,1.268276391
g10123,g10123,3.007372608,2.532181571,4.389568316,3.336184267,3.559944407,3.68730873,3.151477704,1.364973928,3.33117669,2.811587158,2.005438664,3.160738192
g10124,g10124,5.427260453,5.046867746,4.402332184,4.689805203,4.588304286,6.449529123,6.532362176,2.841337987,5.3423351,4.390054398,5.649805114,4.32930463
g10125,g10125,5.232558179,3.29048011,5.42975963,3.762407136,4.123697112,6.034157949,4.820545347,-0.237793851,5.402359401,5.380110196,6.822365546,4.666152906
g10126,g10126,4.112795967,4.031289324,3.696530901,4.878632299,4.275614817,3.726334851,4.897898482,4.116535429,4.304680305,2.772555227,3.021114763,3.785984752
