Gene,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
g4104,GPR144,0.058278874,3.609341853,0.298784937,0.769840003,0.958454717,-5.759321646
g4105,SLC25A37,-0.196216302,4.948439391,-1.501043395,0.157303902,0.645638976,-5.025246706
g4106,SLC12A9,0.637443036,6.816641372,3.503698069,0.003901782,0.218031565,-1.816602829
g4107,PPARGC1A,-0.031645513,6.249832842,-0.29245584,0.774566526,0.958941366,-6.162645159
g4108,g4108,-0.484334479,1.978842332,-0.886174707,0.391666573,0.812710952,-4.993816197
g4109,DNAAF1,-0.245571623,6.207449356,-1.476175415,0.163771453,0.653321078,-5.167211538
g411,g411,-1.078142634,0.396560589,-1.218102782,0.244891523,0.721758351,-4.573806752
g4110,TPCN2,0.399876175,5.42019619,2.534496597,0.024955895,0.393936317,-3.491155194
g4111,MITF,0.017146869,5.706807983,0.130393341,0.898256951,0.983436952,-6.164523675
g4112,COPS6,0.060866581,5.203205978,0.451732857,0.658926843,0.924310472,-6.020441292
g4113,g4113,1.445079259,2.636393128,2.519573692,0.025668744,0.397993737,-3.255832321
g4114,g4114,0.218677266,5.665760597,1.334184037,0.205108455,0.687228229,-5.314430971
g4115,DAB2,0.311094455,6.359312039,1.029166375,0.322222321,0.777968408,-5.685194794
g4116,g4116,-0.670328391,0.032034174,-0.455573151,0.656234201,0.923287831,-4.917606149
g4117,PCTP,-0.327080694,7.311681784,-1.459230292,0.168305725,0.659382327,-5.191008341
g4118,LRRC51,-0.41818511,3.692809175,-0.831572978,0.420704363,0.82610122,-5.522047637
g412,g412,0.17467242,6.650446518,1.013634985,0.329303238,0.78046013,-5.704307873
g4120,g4120,-0.361866282,3.416618631,-1.494236506,0.159052352,0.648579485,-4.764165293
g4121,g4121,0.292168971,3.868230817,1.05769051,0.30950885,0.769519248,-5.346385791
g4122,BMP10,-0.426419557,1.065885603,-0.501840258,0.624194855,0.912461126,-4.975708446
g4123,ANKRD17,0.28971238,7.010210958,2.563492196,0.02362515,0.389661571,-3.487955023
g4124,DROSHA,0.067296275,6.170500932,0.514050155,0.615867102,0.90850752,-6.068922705
g4125,g4125,-0.162330432,7.18377098,-1.199406468,0.251833944,0.728087791,-5.505357462
g4126,g4126,-1.866585026,0.706518982,-3.365825411,0.005082472,0.244670321,-2.913335531
g4127,WDR65,-0.129375967,7.13027611,-0.386632382,0.705300326,0.941973762,-6.132629122
g4128,hpcal4,-0.003167285,2.762991068,-0.011832343,0.990739538,0.998414919,-5.580549106
g4129,IQSEC1,-0.056630888,6.930706645,-0.373281764,0.714971756,0.943347342,-6.142817431
g413,SAMD3,-1.444786339,2.723647363,-3.008265197,0.010104902,0.316397207,-2.584579641
g4130,EOGT,0.224260569,3.675525909,1.309443259,0.21311826,0.694895846,-5.043836
g4131,EOGT,-0.396794319,5.286408156,-1.499100695,0.157801245,0.646503091,-5.074303349
g4132,GRK6,0.017633674,6.647284301,0.19060418,0.851788307,0.974745068,-6.196465334
g4133,g4133,0.849034344,5.418677124,4.037581771,0.001416593,0.154292863,-0.843596616
g4134,g4134,0.391189403,0.116645568,0.511707898,0.617460401,0.908863779,-4.874598473
g4135,SUPV3L1,-0.195023059,4.675895373,-0.558698887,0.585889217,0.897609044,-5.888649666
g4136,NEK4,-0.008949187,6.957403156,-0.019747203,0.984545748,0.997763038,-6.213926827
g4137,NEK4,-0.448833506,-1.049480194,-0.348714257,0.732902354,0.948424989,-4.794900991
g4138,SEMA3G,-0.06429053,8.133316675,-0.409980202,0.688515051,0.93710094,-6.094871834
g4139,COX7C,0.190560554,5.05979797,0.455613283,0.656206088,0.923287831,-6.00481683
g414,g414,-0.438029818,4.133623021,-0.57450596,0.575460142,0.894235615,-5.807893466
g4140,SMO,0.149625963,6.499898674,0.912724241,0.37804984,0.807050276,-5.796023411
g4141,SUV39H2,-0.176515003,3.918687393,-0.758089896,0.461957331,0.846835842,-5.601489836
g4142,CRBN,-0.111491207,4.602202332,-0.627133796,0.541460128,0.880687842,-5.837007408
g4143,g4143,-0.16121001,3.115534924,-0.587802404,0.566764112,0.890844697,-5.501115795
g4144,PTPDC1,-0.099075188,6.00395418,-0.492947737,0.630294089,0.915371596,-6.073379543
g4145,ceeh-1,0.544041921,5.320624786,3.206001316,0.006909557,0.266339497,-2.307548907
g4146,MAN2C1,0.190309117,5.9999825,1.094321929,0.29373102,0.758440177,-5.6034669
g4147,TUBA3D,0.717680025,9.233993523,3.740296221,0.002484142,0.196331537,-1.365685253
g4148,g4148,-0.161404926,3.243960359,-0.57752683,0.573478272,0.893833406,-5.55417857
g415,g415,-0.47918785,7.142136817,-1.312179779,0.212220058,0.693614598,-5.376809644
g4151,IDS,-0.216414701,4.815039568,-0.631751497,0.538531149,0.879085705,-5.871463994
g4152,ACTG2,0.256444561,11.49437904,1.695802553,0.113791213,0.594730046,-4.743618354
g4153,g4153,0.374115612,5.486604559,2.443275278,0.029631309,0.411480501,-3.652789548
g4154,ADRB2,-0.388439947,3.128218474,-1.589716179,0.135980518,0.618634385,-4.600240564
g4157,g4157,1.352818502,1.255480627,1.680027249,0.116875637,0.598193236,-4.268858111
g4158,g4158,1.49693227,1.765207784,2.704881413,0.018062789,0.370813399,-3.084810993
g4159,g4159,-0.127970947,0.714386042,-0.282316558,0.782157923,0.960112217,-5.029103118
g416,g416,0.177726789,3.005893055,0.112698695,0.911995953,0.985426828,-5.714230612
g4160,MALRD1,0.338304946,-0.159632721,0.467544676,0.647872466,0.920862582,-4.857123631
g4163,ABCE1,-0.168162861,6.856224281,-0.812588793,0.431124503,0.831790488,-5.882031055
g4164,g4164,-0.150316596,2.124222604,-0.379633891,0.710363644,0.942518768,-5.334702272
g4165,XBP1,-1.086978569,3.429450563,-1.449976259,0.170826171,0.663028095,-4.786659156
g4166,g4166,-0.314979702,2.965707112,-1.059823139,0.308573404,0.768956557,-5.128843197
g4167,CADPS2,0.202943687,6.018369074,1.629141115,0.127330088,0.610733544,-4.954711808
g4168,ZFYVE20,-0.111873177,4.82514699,-0.794164552,0.441396087,0.837378053,-5.748451458
g4169,IARS,0.639370523,7.353234251,3.054904232,0.00923873,0.308135107,-2.6171296
g417,g417,-0.17484491,1.518921383,-0.110356341,0.913816984,0.985717185,-5.131866771
g4170,g4170,0.003456984,2.871118767,0.013986816,0.989053471,0.998414919,-5.600521826
g4171,SPATA18,0.061739868,7.484559098,0.096540789,0.924567649,0.988006583,-6.19392346
g4172,NAA15,0.01550358,5.963968053,0.101705824,0.920546518,0.986905719,-6.18873837
g4173,g4173,0.095232013,3.923534164,0.433291564,0.671925558,0.929846463,-5.811469198
g4174,PLK4,-0.107305701,5.416565419,-0.337828652,0.740900447,0.951584008,-6.086580128
g4176,g4176,-0.611362786,1.173024242,-0.528007544,0.606414887,0.906217606,-5.031717758
g4177,HHIP,-0.837151844,2.485560562,-1.804998605,0.094343837,0.562002905,-4.195733279
g4178,STIM2,-0.053004534,4.771019689,-0.368469927,0.718470244,0.944090462,-5.990743342
g4179,AARS,0.362268279,7.22744047,1.410506986,0.181933233,0.670037236,-5.254963165
g418,g418,0.148725618,-0.395531999,0.224972708,0.825508027,0.968587507,-4.866868039
g4180,g4180,-0.806102864,3.715282187,-3.495857025,0.003960808,0.218779018,-1.729821891
g4181,g4181,-0.119863892,5.20694916,-0.760715942,0.460440623,0.846807505,-5.836415238
g4182,g4182,0.062561572,4.059611592,0.335351141,0.742725202,0.951993396,-5.873407504
g4183,CR2,0.300867617,3.728940243,0.936506887,0.366132278,0.802030217,-5.405330263
g4184,g4184,0.206351954,5.272365177,0.725153081,0.481243987,0.852845173,-5.860414992
g4185,GSPT1,0.10848755,6.118481251,0.8336592,0.419569429,0.82525292,-5.851726891
g4186,g4186,0.12683805,7.147494223,0.759659192,0.461050588,0.846807505,-5.919173376
g4187,WDR1,0.209282269,8.649002319,1.651959354,0.122545244,0.605286108,-4.893980524
g4188,MOGS,0.039084096,5.163534203,0.229895003,0.821761185,0.967022014,-6.0896117
g4189,RANBP2,0.195763325,7.600734475,1.39075872,0.187711876,0.674319152,-5.269397733
